parameters,validation_score,train_score,rank
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.54,0.985,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5800000000000001,0.9949999999999999,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.56,0.99,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.58,0.99,25
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.54,0.985,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5800000000000001,0.9949999999999999,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.56,0.99,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.58,0.99,25
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.54,0.985,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5800000000000001,0.9949999999999999,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.56,0.99,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.58,0.99,25
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.6,1.0,1
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.6,1.0,1
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.6,1.0,1
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 200, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.48,1.0,142
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.48,1.0,142
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.48,1.0,142
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5199999999999999,1.0,122
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5199999999999999,1.0,122
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.6,1.0,1
